Date;hours;energy
20171229;16;1326,664
20171229;17;1400,124
20171229;18;1545,429
20171229;19;1605,967
20171229;20;1515,802
20171229;21;1429,939
20171229;22;1386,79
20171229;23;1363,59
20171229;24;1251,278
20171230;1;1211,553
20171230;2;1185,336
20171230;3;1235,275
20171230;4;1303,35
20171230;5;1372,379
20171230;6;1595,4
20171230;7;1773,888
20171230;8;1951,425
20171230;9;2085,776
20171230;10;2048,102
20171230;11;1901,014
20171230;12;1824,336
20171230;13;1895,876
20171230;14;2060,513
20171230;15;2317,954
20171230;16;2800,926
20171230;17;3399,201
20171230;18;3690,416
20171230;19;3820,893
20171230;20;3997,152
20171230;21;4135,652
20171230;22;4173,668
20171230;23;4315,465
20171230;24;4325,391
20171231;1;4315,126
20171231;2;4306,327
20171231;3;4388,667
20171231;4;4364,117
20171231;5;4223,982
20171231;6;3971,902
20171231;7;3741,14
20171231;8;3551,988
20171231;9;3174,49
20171231;10;2642,753
20171231;11;2092,104
20171231;12;1603,151
20171231;13;1349,541
20171231;14;1284,062
20171231;15;1400,663
20171231;16;1741,671
20171231;17;2250,277
20171231;18;2901,278
20171231;19;3330,104
20171231;20;3714,527
20171231;21;3986,077
20171231;22;4018,437
20171231;23;4026,562
20171231;24;3949,052
