Data;Godzina;Sumaryczna generacja Ÿróde³ wiatrowych [MWh];
20171121;5;296,550;
20171121;6;243,574;
20171121;7;187,324;
20171121;8;158,828;
20171121;9;171,621;
20171121;10;155,071;
20171121;11;125,261;
20171121;12;115,672;
20171121;13;112,622;
20171121;14;91,322;
20171121;15;90,733;
20171121;16;92,833;
20171121;17;96,147;
20171121;18;128,720;
20171121;19;130,722;
20171121;20;127,747;
20171121;21;148,362;
20171121;22;156,010;
20171121;23;214,924;
20171121;24;266,549;
20171122;1;350,285;
20171122;2;461,537;
20171122;3;685,851;
20171122;4;839,688;
20171122;5;1051,336;
20171122;6;1161,385;
20171122;7;1449,887;
20171122;8;1670,115;
20171122;9;1859,740;
20171122;10;1906,026;
20171122;11;1924,027;
20171122;12;1808,589;
20171122;13;1713,127;
20171122;14;1540,777;
20171122;15;1468,964;
20171122;16;1543,827;
20171122;17;1516,452;
20171122;18;1577,276;
20171122;19;1663,213;
20171122;20;1642,364;
20171122;21;1766,213;
20171122;22;1826,777;
20171122;23;1872,488;
20171122;24;2025,240;
20171123;1;2074,060;
20171123;2;2203,576;
20171123;3;2392,426;
20171123;4;2548,675;
20171123;5;2682,028;
20171123;6;2868,832;
20171123;7;2964,162;
20171123;8;3085,452;
20171123;9;3098,991;
20171123;10;2873,752;
20171123;11;2654,203;
20171123;12;2423,453;
20171123;13;2403,829;
20171123;14;2536,624;
20171123;15;2908,089;
20171123;16;3483,250;
20171123;17;3883,399;
20171123;18;4041,512;
20171123;19;3961,629;
20171123;20;3843,826;
20171123;21;3843,589;
20171123;22;3734,490;
20171123;23;3609,467;
20171123;24;3472,349;
20171124;1;3245,677;
20171124;2;2936,839;
20171124;3;2524,842;
20171124;4;2326,229;
20171124;5;2018,527;
20171124;6;1787,231;
20171124;7;1759,592;
20171124;8;1796,416;
20171124;9;1705,129;
20171124;10;1356,274;
20171124;11;1224,301;
20171124;12;1358,263;
20171124;13;1652,679;
20171124;14;1873,590;
20171124;15;2245,191;
20171124;16;2516,175;
20171124;17;2632,866;
20171124;18;2785,791;
20171124;19;2857,717;
20171124;20;2772,622;
20171124;21;2576,427;
20171124;22;2293,801;
20171124;23;2023,566;
20171124;24;1737,988;
20171125;1;1276,991;
20171125;2;918,784;
20171125;3;777,965;
20171125;4;631,137;
20171125;5;483,897;
20171125;6;450,036;
20171125;7;477,611;
20171125;8;517,873;
20171125;9;654,485;
20171125;10;724,162;
20171125;11;785,801;
20171125;12;962,774;
20171125;13;1201,640;
20171125;14;1556,976;
20171125;15;1607,338;
20171125;16;1911,365;
20171125;17;2064,338;
20171125;18;2445,136;
20171125;19;2669,264;
20171125;20;2947,801;
20171125;21;3022,665;
20171125;22;2907,440;
20171125;23;2889,479;
20171125;24;2854,966;
20171126;1;2782,878;
20171126;2;2573,652;
20171126;3;2361,627;
20171126;4;2205,752;
20171126;5;2186,227;
20171126;6;2103,866;
20171126;7;1997,366;
20171126;8;1921,587;
20171126;9;1868,149;
20171126;10;1856,530;
20171126;11;1879,026;
20171126;12;1806,188;
20171126;13;1695,852;
20171126;14;1739,538;
